Messages,Free entropy density,density,entropy density,stability,physical
"[[6.367059709084311e-24, 4.0173451137337577e-07], [0.998403098170247, 0.0015965000952416276]]",-7.448500099005695,1.0,-7.448500099005695,False,True
"[[5.093647767267455e-24, 3.213876090987006e-07], [0.9985716117230194, 0.0014280668893713797]]",-7.560156059684598,1.0,-7.560156059684598,False,True
"[[4.074918213813969e-24, 2.571100872789605e-07], [0.9987223499975235, 0.0012773928923891652]]",-7.671803128266397,1.0,-7.671803128266397,False,True
"[[2.9157741216920144e-24, 2.056880698859868e-07], [0.9988571865457562, 0.0011426077661739144]]",-7.783442244251528,1.0,-7.783442244251528,False,True
"[[2.0232247266904231e-22, 1.645504557321213e-07], [0.9989777977313329, 0.001022037718211508]]",-7.895074248756096,1.0,-7.895074248756096,False,True
"[[1.6185797813525682e-22, 1.3164036458569703e-07], [0.9990856834226634, 0.0009141849369721936]]",-8.006699891974204,1.0,-8.006699891974204,False,True
"[[1.2948638250822601e-22, 1.0531229166855763e-07], [0.9991821855329774, 0.000817709154730955]]",-8.118319846420558,1.0,-8.118319846420558,False,True
"[[1.3352692003025744e-24, 8.42498333995698e-08], [0.9992685046157955, 0.0007314111343710958]]",-8.229934712654863,1.0,-8.229934712654863,False,True
"[[8.28712848052958e-23, 6.739986666787689e-08], [0.9993457147284683, 0.0006542178716650549]]",-8.341545029257663,1.0,-8.341545029257663,False,True
"[[6.629702784425135e-23, 5.3919893334301516e-08], [0.9994147767343396, 0.0005851693457671443]]",-8.45315127570787,1.0,-8.45315127570787,False,True
"[[5.303762227541424e-23, 4.313591466744121e-08], [0.9994765502158229, 0.0005234066482625664]]",-8.564753882233187,1.0,-8.564753882233187,False,True
"[[4.243009782034316e-23, 3.450873173395297e-08], [0.9995318041338154, 0.0004681613574530779]]",-8.676353233259967,1.0,-8.676353233259967,False,True
"[[3.394407825628505e-23, 2.7606985387162378e-08], [0.9995812263696662, 0.0004187460233485333]]",-8.787949672599733,1.0,-8.787949672599733,False,True
"[[2.715526260503745e-23, 2.2085588309729903e-08], [0.9996254322646113, 0.000374545649800513]]",-8.899543507743005,1.0,-8.899543507743005,False,True
"[[2.1724210084038376e-23, 1.7668470647783922e-08], [0.9996649722617469, 0.0003350100697826171]]",-9.011135013698539,1.0,-9.011135013698539,False,True
"[[1.7379368067238228e-23, 1.4134776518227139e-08], [0.9997003387444766, 0.0002996471207469735]]",-9.122724436426381,1.0,-9.122724436426381,False,True
"[[1.3903494453797315e-23, 1.1307821214581712e-08], [0.9997319721556109, 0.0002680165365679469]]",-9.234311995907653,1.0,-9.234311995907653,False,True
